Ativo,DataPregao,Abertura,Fechamento,PrecoMin,PrecoMax,Volume
BHIAJ240E,2025-10-07,2.4,2.4,2.4,2.4,1
CBAVJ310E,2025-10-07,3.1,3.1,3.1,3.1,3
CBAVJ340E,2025-10-07,3.4,3.4,3.4,3.4,2
CBAVK320E,2025-10-07,3.2,3.2,3.2,3.2,1
CBAVJ360E,2025-10-07,3.6,3.6,3.6,3.6,1
PETRL302E,2025-10-07,1.6,1.6,1.6,1.6,4
GGBR4,2025-10-07,17.36,17.19,17.19,17.53,17188
VALEW611,2025-10-07,1.24,1.43,1.24,1.43,105
VALEJ614,2025-10-07,1.11,0.48,0.46,1.11,1365
GOAUK103,2025-10-07,0.34,0.29,0.29,0.36,16
VALEV630,2025-10-07,0.66,0.85,0.57,0.85,1046
VALEK606,2025-10-07,2.53,2.11,2.11,2.54,254
VALEJ585,2025-10-07,4.88,4.35,4.35,4.88,29
VALEJ630,2025-10-07,1.07,0.67,0.67,1.08,2246
PMAM3,2025-10-07,1.24,1.24,1.22,1.28,321
VALEK626,2025-10-07,1.48,1.13,1.13,1.48,165
VALEV603W2,2025-10-07,1.03,1.46,1.03,1.46,24
VALEJ580,2025-10-07,5.34,4.91,4.91,5.36,46
GGBRW182,2025-10-07,0.89,1.05,0.89,1.05,7
VALEK621,2025-10-07,1.68,1.37,1.35,1.7,86
GGBRW157,2025-10-07,0.14,0.15,0.14,0.15,5
VALEJ560,2025-10-07,7.23,6.9,6.9,7.34,19
VALEW571,2025-10-07,0.38,0.4,0.36,0.4,842
VALEW556,2025-10-07,0.24,0.25,0.24,0.26,18
VALEK536,2025-10-07,8.43,7.9,7.9,8.43,36
VALEA750,2025-10-07,0.35,0.35,0.35,0.35,2
VALEK526,2025-10-07,9.35,8.88,8.88,9.35,8
VALEK678,2025-10-07,0.5,0.38,0.38,0.54,37
VALEV554,2025-10-07,0.04,0.04,0.03,0.04,26
VALEL660,2025-10-07,4.45,4.12,4.12,4.52,21
VALEW646,2025-10-07,3.36,3.55,3.35,3.55,5
GGBRK182,2025-10-07,0.5,0.38,0.38,0.5,8
PMAM1,2025-10-07,0.01,0.01,0.01,0.01,54
GGBRV182,2025-10-07,0.95,0.95,0.95,0.95,1
VALEJ595W2,2025-10-07,1.84,1.33,1.33,1.84,17
VALEV684,2025-10-07,7.2,7.48,7.2,7.48,6
VALEV565W2,2025-10-07,0.01,0.01,0.01,0.01,2
VALEV534,2025-10-07,0.02,0.02,0.01,0.02,8
GGBRV165W4,2025-10-07,0.14,0.14,0.14,0.14,1
VALEJ560W2,2025-10-07,5.15,4.73,4.73,5.15,7
VALEV560W4,2025-10-07,0.09,0.09,0.09,0.09,1
VALEW466,2025-10-07,0.03,0.03,0.03,0.03,3
VALEM650,2025-10-07,1.5,1.5,1.45,1.52,46
GOAUV967,2025-10-07,0.05,0.08,0.05,0.08,3
GOAUK947,2025-10-07,0.83,0.81,0.81,0.83,4
VALEL600,2025-10-07,5.16,4.95,4.95,5.16,5
VALEL540,2025-10-07,10.3,10.3,10.3,10.3,1
VALEJ610W5,2025-10-07,0.84,0.77,0.75,0.84,55
VALEL702,2025-10-07,0.17,0.17,0.17,0.17,3
VALED587,2025-10-07,5.05,6.06,5.05,6.23,9
VALEL57,2025-10-07,15,15.02,15,15.02,2
VALEM602,2025-10-07,0.89,0.89,0.89,0.89,1
VALEA617,2025-10-07,4.29,4.27,4.27,4.29,2
GOAUL104,2025-10-07,0.37,0.37,0.37,0.37,1
GOAUJ847,2025-10-07,1.53,1.53,1.53,1.53,1
VALEW429,2025-10-07,0.02,0.02,0.02,0.02,1
VALEL637,2025-10-07,1.1,0.98,0.98,1.1,3
VALEL669,2025-10-07,0.7,0.7,0.7,0.7,1
GGBRA181,2025-10-07,0.41,0.41,0.41,0.41,2
GGBRK180W4,2025-10-07,0.45,0.45,0.45,0.45,1
VALEB638,2025-10-07,9.53,9.35,9.35,9.53,3
VALEX660,2025-10-07,0.75,0.9,0.75,0.9,9
VALEN470,2025-10-07,0.23,0.23,0.23,0.23,1
VALEW479,2025-10-07,0.05,0.05,0.05,0.05,1
VALEW511,2025-10-07,0.09,0.08,0.08,0.09,2
VALEK493,2025-10-07,10.84,10.84,10.84,10.84,1
VALER602,2025-10-07,1.34,1.34,1.34,1.34,2
GGBRV162,2025-10-07,0.05,0.04,0.04,0.06,3
VALEV613W4,2025-10-07,2.04,2.04,2.04,2.04,1
VALEL594,2025-10-07,4.15,4.15,4.15,4.15,1
VALEW541,2025-10-07,0.17,0.17,0.17,0.17,2
VALEK466,2025-10-07,15.17,15.17,15.17,15.17,1
VALEK726,2025-10-07,0.06,0.06,0.06,0.06,1
VALEA275,2025-10-07,0.05,0.05,0.05,0.05,2
GOAU4,2025-10-07,9.92,9.85,9.84,10.03,5169
VALEK641,2025-10-07,0.85,0.67,0.67,0.89,44
VALEJ604,2025-10-07,1.58,0.9,0.9,1.58,1123
VALEK711,2025-10-07,0.07,0.06,0.06,0.07,13
VALEC635,2025-10-07,2.9,2.8,2.8,2.9,2
VALEJ590W2,2025-10-07,2.15,1.7,1.7,2.19,130
VALEB663,2025-10-07,1.65,1.73,1.65,1.85,6
VALEK666,2025-10-07,0.4,0.28,0.28,0.4,34
VALEJ550W4,2025-10-07,6.41,6.07,6.07,6.41,4
GGBRK197,2025-10-07,0.12,0.09,0.09,0.12,9
VALEK661,2025-10-07,0.45,0.33,0.33,0.45,34
VALEV670,2025-10-07,3.67,4.01,3.67,4.03,10
VALEJ593W4,2025-10-07,1.37,1.04,1.01,1.37,16
VALEC726,2025-10-07,0.9,0.8,0.8,0.9,6
VALEK716,2025-10-07,0.07,0.06,0.06,0.07,3
VALEV524,2025-10-07,0.01,0.01,0.01,0.02,10
VALEJ510W4,2025-10-07,9.88,9.87,9.87,9.89,5
VALEK556,2025-10-07,6.48,6.02,6.02,6.48,23
VALEJ684,2025-10-07,0.01,0.01,0.01,0.01,3
VALEW621,2025-10-07,1.68,1.88,1.68,1.89,36
VALEA647,2025-10-07,2.6,2.46,2.44,2.6,11
VALEJ1,2025-10-07,9.83,9.65,9.65,9.83,3
VALEJ570W2,2025-10-07,4.16,3.73,3.73,4.16,31
VALEJ525W2,2025-10-07,8.65,8.2,8.2,8.65,5
GGBRL240,2025-10-07,0.38,0.38,0.38,0.38,1
GGBRJ185,2025-10-07,0.07,0.03,0.03,0.07,14
VALEJ585W2,2025-10-07,2.64,2.3,2.3,2.64,25
VALEV530,2025-10-07,0.01,0.01,0.01,0.02,5
VALEC595,2025-10-07,4.87,4.95,4.87,5.22,3
GOAUJ929,2025-10-07,0.7,0.68,0.68,0.71,5
VALEA580,2025-10-07,9.31,9.15,9.12,9.31,46
VALEA577,2025-10-07,7.51,7.45,7.4,7.51,5
GGBRV155,2025-10-07,0.03,0.02,0.02,0.03,2
VALEU50,2025-10-07,0.75,0.75,0.75,0.75,1
GOAUK110,2025-10-07,0.12,0.09,0.09,0.12,9
GGBRJ180,2025-10-07,0.11,0.12,0.11,0.13,6
VALEO450,2025-10-07,0.08,0.07,0.04,0.08,4
VALEN622,2025-10-07,2.9,2.92,2.9,2.95,4
VALEW70,2025-10-07,5.93,5.93,5.93,5.93,1
VALEA607,2025-10-07,5.01,4.98,4.98,5.01,4
VALEL544,2025-10-07,7.99,7.99,7.99,7.99,1
GOAUK99,2025-10-07,0.47,0.42,0.42,0.47,8
GOAUD150,2025-10-07,0.48,0.48,0.48,0.48,1
VALEV603W4,2025-10-07,1.51,1.51,1.51,1.51,1
VALEL70,2025-10-07,0.61,0.5,0.48,0.61,5
GGBRK187,2025-10-07,0.29,0.26,0.25,0.29,3
VALEW501,2025-10-07,0.07,0.07,0.07,0.07,1
VALEK571,2025-10-07,5.14,5,5,5.14,2
VALEL659,2025-10-07,1,0.99,0.99,1,6
VALEV663W2,2025-10-07,6.83,7.09,6.83,7.09,2
VALEJ580W4,2025-10-07,3.58,3.4,3.4,3.58,7
VALEJ520W4,2025-10-07,9.26,9.18,9.18,9.26,3
VALEJ555W4,2025-10-07,5.89,5.81,5.81,5.89,3
GOAUL101,2025-10-07,0.51,0.51,0.51,0.51,1
VALEJ585W4,2025-10-07,3.15,3.01,3.01,3.15,5
GOAUL989,2025-10-07,0.51,0.51,0.51,0.51,2
VALEW488,2025-10-07,0.07,0.07,0.07,0.07,1
GGBRW190,2025-10-07,1.45,1.45,1.45,1.45,1
GGBRJ162,2025-10-07,1.39,1.32,1.32,1.39,2
PATI4F,2025-10-07,38.21,38.21,38.21,38.21,2
GGBRV210,2025-10-07,3.48,3.48,3.48,3.48,1
VALEX544,2025-10-07,0.28,0.28,0.28,0.28,2
VALEW696,2025-10-07,7.68,7.68,7.68,7.68,1
VALEV590W2,2025-10-07,0.06,0.07,0.06,0.07,27
VALEJ620,2025-10-07,1.73,1.27,1.27,1.87,1200
GOAUK949,2025-10-07,0.79,0.72,0.71,0.8,7
VALEW586,2025-10-07,0.58,0.64,0.58,0.64,146
FESA4F,2025-10-07,6.49,6.47,6.34,6.49,769
VALEW606,2025-10-07,1.12,1.23,1.1,1.24,118
VALEJ613W2,2025-10-07,0.1,0.05,0.05,0.1,58
VALEW601,2025-10-07,0.96,1.1,0.91,1.1,142
VALEV590,2025-10-07,0.07,0.06,0.05,0.07,80
VALEA620,2025-10-07,6,5.69,5.69,6.01,4
VALEK70,2025-10-07,0.27,0.2,0.2,0.27,26
VALEW561,2025-10-07,0.28,0.29,0.27,0.3,45
GGBRK167,2025-10-07,1.16,1.15,1.15,1.17,5
VALEW531,2025-10-07,0.13,0.13,0.12,0.14,12
VALEW551,2025-10-07,0.21,0.21,0.21,0.22,13
VALEK586,2025-10-07,3.88,3.48,3.48,3.9,66
VALEK596,2025-10-07,3.16,2.76,2.76,3.16,84
VALEK701,2025-10-07,0.12,0.09,0.08,0.12,14
VALEJ530W2,2025-10-07,8.07,7.69,7.69,8.07,8
GOAUX889,2025-10-07,0.1,0.1,0.1,0.1,1
VALEA592,2025-10-07,6.21,6.04,6.03,6.24,7
VALEK646,2025-10-07,0.78,0.56,0.56,0.78,87
VALEV593W4,2025-10-07,0.84,1,0.84,1,4
VALEX520,2025-10-07,0.11,0.11,0.11,0.11,1
VALEX550,2025-10-07,0.2,0.2,0.2,0.2,2
GOAUJ887,2025-10-07,1.17,1.12,1.12,1.17,2
GGBRW162,2025-10-07,0.2,0.22,0.2,0.22,5
VALEA711,2025-10-07,0.35,0.33,0.33,0.35,4
VALEK516,2025-10-07,9.95,9.95,9.95,9.95,1
VALEL69,2025-10-07,0.7,0.54,0.54,0.7,7
VALEA642,2025-10-07,2.77,2.7,2.7,3.18,13
VALEX799,2025-10-07,17.5,17.15,17.09,17.5,6
VALEA641,2025-10-07,1.82,1.77,1.77,1.82,7
GGBRJ170W2,2025-10-07,0.49,0.38,0.38,0.49,4
GOAUW929,2025-10-07,0.13,0.12,0.12,0.13,2
GGBRJ160,2025-10-07,1.46,1.46,1.46,1.46,1
VALEM620,2025-10-07,0.78,0.78,0.78,0.78,1
VALEC565,2025-10-07,6,6,6,6,1
GGBRL191,2025-10-07,0.51,0.51,0.51,0.51,11
VALEL724,2025-10-07,0.15,0.15,0.15,0.15,7
VALEL614,2025-10-07,2.69,2.55,2.45,3.2,8
VALER540,2025-10-07,1.53,1.21,1.19,1.53,3
GGBRJ175W2,2025-10-07,0.22,0.14,0.14,0.22,3
VALEQ43,2025-10-07,0.19,0.16,0.16,0.19,4
VALEV674,2025-10-07,6.46,6.46,6.46,6.46,1
VALEN638,2025-10-07,3.4,3.4,3.4,3.41,39
VALEV544,2025-10-07,0.03,0.03,0.02,0.03,9
VALEV575W4,2025-10-07,0.15,0.16,0.15,0.16,3
VALEC675,2025-10-07,1.35,1.35,1.35,1.35,1
VALEV680,2025-10-07,4.87,5.01,4.87,5.01,3
VALEV585W2,2025-10-07,0.04,0.05,0.04,0.05,10
VALEF602,2025-10-07,8.7,8.7,8.7,8.7,1
VALEV654,2025-10-07,4.38,4.38,4.38,4.38,1
VALEJ600W4,2025-10-07,1.93,1.78,1.78,1.93,5
VALEV580W4,2025-10-07,0.19,0.2,0.19,0.2,2
VALEB615,2025-10-07,5.5,5.5,5.5,5.5,1
VALEA572,2025-10-07,7.81,7.79,7.79,7.81,2
VALEK630W1,2025-10-07,0.88,0.97,0.88,0.97,2
VALEN530,2025-10-07,0.28,0.25,0.25,0.28,2
GGBRV180W2,2025-10-07,0.67,0.69,0.67,0.77,3
VALEX560,2025-10-07,0.26,0.26,0.26,0.26,1
VALEN602,2025-10-07,1.47,1.47,1.47,1.47,1
GOAUJ927,2025-10-07,0.82,0.82,0.82,0.82,1
GGBRK214,2025-10-07,0.02,0.02,0.02,0.02,1
GGBRJ190,2025-10-07,0.03,0.02,0.02,0.03,2
VALEK595W4,2025-10-07,1.75,2.09,1.75,2.09,2
VALEM485,2025-10-07,0.11,0.11,0.11,0.11,1
GGBRV205,2025-10-07,2.99,2.99,2.99,2.99,1
VALEM651,2025-10-07,3.5,3.5,3.5,3.5,1
VALEJ660,2025-10-07,0.15,0.08,0.08,0.15,91
GGBRL153,2025-10-07,3,3,3,3,1
VALE3F,2025-10-07,59.55,58.89,58.89,59.59,9061
VALEV595W4,2025-10-07,0.41,0.46,0.41,0.46,5
GGBR4F,2025-10-07,17.21,17.28,17.18,17.52,1519
VALEV614,2025-10-07,0.85,1.21,0.78,1.21,1055
VALEO350,2025-10-07,0.02,0.03,0.02,0.03,2
VALEV640,2025-10-07,1.15,1.44,0.85,1.44,811
GOAUW889,2025-10-07,0.07,0.08,0.07,0.08,10
VALEJ613W4,2025-10-07,0.43,0.33,0.33,0.43,7
VALEV574,2025-10-07,0.08,0.08,0.06,0.09,174
GGBRK175,2025-10-07,0.82,0.71,0.69,0.82,88
VALEJ565W2,2025-10-07,4.65,4.24,4.24,4.66,15
VALEA622,2025-10-07,4.05,3.88,3.71,4.05,13
GGBRV180,2025-10-07,0.71,0.74,0.68,0.74,10
GGBRW160,2025-10-07,0.15,0.17,0.15,0.17,7
VALEJ680,2025-10-07,0.04,0.03,0.03,0.04,301
GGBRJ165,2025-10-07,1.09,0.95,0.95,1.09,8
VALEX620,2025-10-07,1.1,1.16,1.1,1.17,27
GGBRV217,2025-10-07,4.36,4.36,4.36,4.36,1
GGBRJ170,2025-10-07,0.77,0.55,0.55,0.77,16
GOAUJ967,2025-10-07,0.45,0.38,0.38,0.45,16
GGBRK209,2025-10-07,0.03,0.03,0.03,0.03,1
VALEV644,2025-10-07,3.33,3.54,3.33,3.55,14
GOAUV10,2025-10-07,0.2,0.24,0.18,0.24,32
GOAU3,2025-10-07,9.95,9.84,9.82,10.03,274
VALEJ575W4,2025-10-07,4.14,3.68,3.68,4.14,9
VALEJ575W2,2025-10-07,3.56,3.27,3.27,3.56,13
GGBRM158,2025-10-07,0.04,0.29,0.04,0.29,2
VALEJ565W4,2025-10-07,4.97,4.62,4.62,4.97,9
VALEK671,2025-10-07,0.31,0.23,0.23,0.31,26
VALEK691,2025-10-07,0.16,0.14,0.13,0.16,19
VALEA632,2025-10-07,3.33,3.22,3.2,3.4,11
VALEV584,2025-10-07,0.12,0.15,0.1,0.15,272
VALEA612,2025-10-07,4.64,4.48,4.48,4.7,6
GGBRW175,2025-10-07,0.57,0.64,0.56,0.64,21
VALEK731,2025-10-07,0.04,0.04,0.04,0.04,1
GGBRV170,2025-10-07,0.13,0.19,0.13,0.19,14
GOAUW949,2025-10-07,0.17,0.18,0.17,0.18,2
VALEW516,2025-10-07,0.09,0.1,0.09,0.1,2
GGBRV190,2025-10-07,1.65,1.65,1.65,1.65,1
VALEW701,2025-10-07,8.47,8.47,8.47,8.47,1
VALEL220,2025-10-07,0.01,0.05,0.01,0.05,4
GGBRJ168,2025-10-07,0.77,0.78,0.77,0.78,2
GOAUW967,2025-10-07,0.2,0.2,0.2,0.2,2
VALEW526,2025-10-07,0.11,0.11,0.11,0.12,7
VALEB69,2025-10-07,0.8,1.08,0.8,1.08,3
GGBRW167,2025-10-07,0.33,0.35,0.33,0.35,3
GGBRK134,2025-10-07,4,4,4,4,1
GGBRJ195,2025-10-07,0.01,0.01,0.01,0.01,1
VALEX584,2025-10-07,0.8,0.36,0.36,0.81,5
VALEC655,2025-10-07,1.89,2,1.89,2.14,5
VALEV510,2025-10-07,0.01,0.01,0.01,0.01,2
VALEL590,2025-10-07,5.79,5.77,5.77,5.98,8
GGBRK192,2025-10-07,0.18,0.16,0.15,0.18,4
VALEV613W2,2025-10-07,2.03,2.29,2.03,2.29,3
GOAUW927,2025-10-07,0.11,0.11,0.11,0.11,1
VALEX472,2025-10-07,0.07,0.09,0.07,0.09,6
VALEJ630W5,2025-10-07,0.34,0.3,0.3,0.44,8
VALEW666,2025-10-07,5.02,5.01,5.01,5.02,2
VALEK426,2025-10-07,18.69,18.74,18.69,18.74,4
VALEJ421,2025-10-07,18.67,18.74,18.67,18.74,3
VALEK580W1,2025-10-07,1.93,2.53,1.91,2.53,4
VALEX644,2025-10-07,1.82,1.89,1.82,1.89,6
VALEJ690,2025-10-07,0.03,0.02,0.02,0.03,22
VALEL604,2025-10-07,3.15,3.15,3.15,3.15,2
VALEA637,2025-10-07,2.86,3.03,2.86,3.07,5
GGBRJ180W2,2025-10-07,0.05,0.03,0.03,0.05,4
VALEV653W2,2025-10-07,6.22,6.22,6.22,6.22,1
GGBRJ165W2,2025-10-07,0.91,0.86,0.86,0.93,6
VALEX594,2025-10-07,0.93,1.04,0.93,1.04,7
VALEJ545W4,2025-10-07,6.88,6.8,6.8,6.88,3
VALEX659,2025-10-07,4.2,4.2,4.2,4.2,1
VALEV580W2,2025-10-07,0.03,0.04,0.03,0.04,2
GGBRX177,2025-10-07,0.55,0.59,0.55,0.59,2
VALEC686,2025-10-07,1.7,1.7,1.7,1.7,1
VALEV53,2025-10-07,0.8,0.71,0.71,0.8,6
GOAUX979,2025-10-07,0.2,0.2,0.2,0.2,2
VALEW521,2025-10-07,0.1,0.1,0.1,0.1,2
VALEJ48,2025-10-07,11,11,11,11,3
GGBRV170W2,2025-10-07,0.08,0.07,0.07,0.08,3
GOAUV929,2025-10-07,0.03,0.03,0.03,0.03,1
VALEA651,2025-10-07,1.2,1.2,1.2,1.2,1
VALEJ595W5,2025-10-07,1.65,1.65,1.65,1.65,1
VALEL534,2025-10-07,9.1,9.17,9.1,9.17,2
VALEX564,2025-10-07,0.36,0.43,0.36,0.43,3
VALEV683W2,2025-10-07,8.8,8.8,8.8,8.8,1
