Ação,Data,Abertura,Fechamento,Min,Max,Volume
FESA3,2025-09-23,11.13,11.15,11.13,11.18,
FESA3F,2025-09-23,11.91,11.86,11.14,11.99,
FESA4,2025-09-23,6.69,6.7,6.62,6.76,
FESA4F,2025-09-23,6.72,6.71,6.62,6.76,
FESAH80,2025-09-23,0.57,0.57,0.57,0.57,
GGBR3,2025-09-23,15.08,15.09,15.08,15.47,
GGBR3F,2025-09-23,14.85,15.24,14.85,15.45,
GGBR4,2025-09-23,16.76,16.86,16.69,17.32,
GGBR4F,2025-09-23,16.56,16.87,16.56,17.32,
GGBRA187,2025-09-23,0.65,0.62,0.62,0.65,
GGBRA188,2025-09-23,0.5,0.5,0.5,0.5,
GGBRI160W4,2025-09-23,0.89,1.1,0.87,1.25,
GGBRI165W4,2025-09-23,0.3,0.6,0.3,0.94,
GGBRI170W4,2025-09-23,0.14,0.26,0.14,0.5,
GGBRI175W4,2025-09-23,0.05,0.11,0.05,0.19,
GGBRI180W4,2025-09-23,0.05,0.02,0.02,0.05,
GGBRJ152,2025-09-23,1.88,1.88,1.88,1.88,
GGBRJ155,2025-09-23,1.75,1.75,1.75,1.75,
GGBRJ155W1,2025-09-23,1.73,1.73,1.73,1.73,
GGBRJ157,2025-09-23,1.66,1.5,1.5,1.69,
GGBRJ160,2025-09-23,1.23,1.23,1.23,1.23,
GGBRJ162,2025-09-23,0.97,1.22,0.97,1.25,
GGBRJ165,2025-09-23,0.83,0.84,0.83,0.97,
GGBRJ165W1,2025-09-23,0.6,0.6,0.6,0.6,
GGBRJ165W2,2025-09-23,0.72,0.72,0.72,0.72,
GGBRJ168,2025-09-23,0.61,0.7,0.61,0.96,
GGBRJ170,2025-09-23,0.5,0.5,0.5,0.79,
GGBRJ170W1,2025-09-23,0.27,0.29,0.27,0.47,
GGBRJ170W4,2025-09-23,0.57,0.57,0.57,0.57,
GGBRJ172,2025-09-23,0.31,0.38,0.31,0.63,
GGBRJ175,2025-09-23,0.25,0.28,0.25,0.49,
GGBRJ175W1,2025-09-23,0.12,0.11,0.11,0.23,
GGBRJ175W2,2025-09-23,0.17,0.18,0.17,0.31,
GGBRJ177,2025-09-23,0.19,0.32,0.19,0.36,
GGBRJ180,2025-09-23,0.12,0.14,0.1,0.24,
GGBRJ180W1,2025-09-23,0.09,0.04,0.04,0.09,
GGBRJ180W2,2025-09-23,0.12,0.12,0.12,0.12,
GGBRJ180W5,2025-09-23,0.28,0.28,0.28,0.28,
GGBRJ182,2025-09-23,0.09,0.11,0.09,0.19,
GGBRJ185,2025-09-23,0.05,0.07,0.05,0.14,
GGBRJ185W1,2025-09-23,0.05,0.04,0.04,0.05,
GGBRJ185W2,2025-09-23,0.06,0.06,0.06,0.06,
GGBRJ185W5,2025-09-23,0.21,0.21,0.21,0.21,
GGBRJ188,2025-09-23,0.06,0.05,0.05,0.09,
GGBRJ190,2025-09-23,0.04,0.04,0.04,0.07,
GGBRJ190W2,2025-09-23,0.03,0.03,0.03,0.03,
GGBRJ192,2025-09-23,0.03,0.03,0.03,0.05,
GGBRJ195,2025-09-23,0.03,0.03,0.03,0.03,
GGBRJ199,2025-09-23,0.02,0.02,0.02,0.03,
GGBRJ203,2025-09-23,0.01,0.01,0.01,0.01,
GGBRJ205,2025-09-23,0.01,0.01,0.01,0.01,
GGBRJ22,2025-09-23,1.32,1.32,1.32,1.32,
GGBRK152,2025-09-23,2.26,2.26,2.26,2.26,
GGBRK155,2025-09-23,2.02,2.02,2.02,2.02,
GGBRK157,2025-09-23,1.82,1.82,1.82,1.82,
GGBRK160,2025-09-23,1.61,1.62,1.61,1.62,
GGBRK162,2025-09-23,1.67,1.67,1.67,1.67,
GGBRK165,2025-09-23,1.26,1.26,1.26,1.26,
GGBRK167,2025-09-23,1.06,1.08,1.05,1.3,
GGBRK17,2025-09-23,0.73,0.86,0.73,1.03,
GGBRK170,2025-09-23,0.92,0.93,0.89,1.18,
GGBRK175,2025-09-23,0.89,0.7,0.7,0.89,
GGBRK175W4,2025-09-23,0.45,0.45,0.45,0.45,
GGBRK18,2025-09-23,0.55,0.47,0.45,0.63,
GGBRK180,2025-09-23,0.64,0.59,0.55,0.76,
GGBRK182,2025-09-23,0.37,0.41,0.35,0.51,
GGBRK185,2025-09-23,0.44,0.33,0.31,0.44,
GGBRK187,2025-09-23,0.24,0.26,0.24,0.36,
GGBRK190,2025-09-23,0.26,0.22,0.21,0.3,
GGBRK192,2025-09-23,0.16,0.17,0.16,0.23,
GGBRK195,2025-09-23,0.14,0.14,0.14,0.19,
GGBRK202,2025-09-23,0.08,0.08,0.08,0.08,
GGBRK207,2025-09-23,0.06,0.06,0.06,0.06,
GGBRL153,2025-09-23,3,3,3,3,
GGBRL191,2025-09-23,0.61,0.65,0.61,0.65,
GGBRL20,2025-09-23,0.3,0.27,0.25,0.3,
GGBRL202,2025-09-23,0.29,0.24,0.24,0.31,
GGBRL215,2025-09-23,0.13,0.11,0.11,0.13,
GGBRL240,2025-09-23,0.42,0.39,0.3,0.42,
GGBRL26,2025-09-23,0.14,0.13,0.13,0.14,
GGBRU160W4,2025-09-23,0.01,0.01,0.01,0.01,
GGBRU165W4,2025-09-23,0.06,0.06,0.03,0.06,
GGBRU170W4,2025-09-23,0.22,0.17,0.09,0.22,
GGBRU175W4,2025-09-23,0.58,0.51,0.28,0.58,
GGBRU180W4,2025-09-23,0.7,0.7,0.7,0.7,
GGBRV130,2025-09-23,0.01,0.01,0.01,0.01,
GGBRV140,2025-09-23,0.01,0.01,0.01,0.01,
GGBRV150,2025-09-23,0.03,0.04,0.03,0.04,
GGBRV152,2025-09-23,0.05,0.05,0.03,0.05,
GGBRV155,2025-09-23,0.06,0.07,0.05,0.07,
GGBRV155W2,2025-09-23,0.04,0.04,0.04,0.04,
GGBRV157,2025-09-23,0.07,0.09,0.06,0.09,
GGBRV160,2025-09-23,0.09,0.12,0.08,0.13,
GGBRV160W1,2025-09-23,0.04,0.05,0.04,0.05,
GGBRV162,2025-09-23,0.16,0.14,0.1,0.17,
GGBRV165,2025-09-23,0.2,0.22,0.14,0.23,
GGBRV165W1,2025-09-23,0.15,0.14,0.1,0.15,
GGBRV165W2,2025-09-23,0.2,0.2,0.2,0.2,
GGBRV168,2025-09-23,0.25,0.29,0.19,0.31,
GGBRV170,2025-09-23,0.37,0.38,0.25,0.41,
GGBRV170W1,2025-09-23,0.31,0.32,0.2,0.33,
GGBRV170W2,2025-09-23,0.36,0.36,0.36,0.36,
GGBRV172,2025-09-23,0.45,0.52,0.34,0.52,
GGBRV175,2025-09-23,0.53,0.67,0.44,0.68,
GGBRV175W1,2025-09-23,0.72,0.64,0.46,0.72,
GGBRV175W2,2025-09-23,0.63,0.63,0.63,0.63,
GGBRV177,2025-09-23,0.6,0.79,0.57,0.84,
GGBRV180,2025-09-23,0.78,1.03,0.72,1.03,
GGBRV180W1,2025-09-23,1.16,1.05,1.05,1.16,
GGBRV182,2025-09-23,1.17,1.17,1.17,1.17,
